id,personaje_id,tipo,origen_esperado,rep,origen_obtenido,acierto_origen,metodo,distancia,recall_at3,idioma,es_espanol,palabras,frases,inflesz,banda_inflesz,fernandez_huerta,roto_personaje,n_roto,lat_traduccion_ms,lat_retrieval_ms,lat_evaluator_ms,lat_generacion_ms,tokens_est,coste_est_usd,respuesta,error
trex-01,t-rex,literal,RAG,1,RAG,True,umbral,0.6693,True,es,True,24,2,67.6,bastante_facil,75.8,,0,938.5,503.4,0.0,2180.7,520,3.3e-05,"Comí restos de cadáveres, como huesos y carne. Mi sentido del olfato era muy desarrollado, así que podía encontrar los cadáveres a grandes distancias.",
trex-01,t-rex,literal,RAG,2,RAG,True,umbral,0.6693,True,es,True,24,2,67.6,bastante_facil,75.8,,0,938.5,503.4,0.0,906.0,520,3.3e-05,"Comí restos de cadáveres, como huesos y carne. Mi sentido del olfato era muy desarrollado, así que podía encontrar los cadáveres a grandes distancias.",
trex-01,t-rex,literal,RAG,3,RAG,True,umbral,0.6693,True,es,True,24,2,67.6,bastante_facil,75.8,,0,938.5,503.4,0.0,921.4,520,3.3e-05,"Comí restos de cadáveres, como huesos y carne. Mi sentido del olfato era muy desarrollado, así que podía encontrar los cadáveres a grandes distancias.",
trex-02,t-rex,literal,RAG,1,RAG,True,umbral,0.7006,True,es,True,18,6,106.9,muy_facil,79.5,,0,153.5,184.6,0.0,971.2,611,3.5e-05,"Sí, ¡fue verdad! Como T. rex, medía entre 3.66 y 3.96 metros de altura en la cadera. ¡Era muy alto!",
trex-02,t-rex,literal,RAG,2,RAG,True,umbral,0.7006,True,es,True,18,6,106.9,muy_facil,79.5,,0,153.5,184.6,0.0,1165.4,611,3.5e-05,"Sí, ¡fue verdad! Como T. rex, medía entre 3.66 y 3.96 metros de altura en la cadera. ¡Era muy alto!",
trex-02,t-rex,literal,RAG,3,RAG,True,umbral,0.7006,True,es,True,18,6,106.9,muy_facil,79.5,,0,153.5,184.6,0.0,960.5,611,3.5e-05,"Sí, ¡fue verdad! Como T. rex, medía entre 3.66 y 3.96 metros de altura en la cadera. ¡Era muy alto!",
trex-03,t-rex,literal,RAG,1,SIN_INFO,False,umbral,0.7739,True,es,True,15,2,58.1,normal,57.2,,0,144.5,170.4,0.0,0.0,25,6e-06,"No tengo esa información entre mis documentos. ¡Pregúntame otra cosa, seguro que sé algo interesante!",
trex-03,t-rex,literal,RAG,2,SIN_INFO,False,umbral,0.7739,True,es,True,15,2,58.1,normal,57.2,,0,144.5,170.4,0.0,0.0,25,6e-06,"No tengo esa información entre mis documentos. ¡Pregúntame otra cosa, seguro que sé algo interesante!",
trex-03,t-rex,literal,RAG,3,SIN_INFO,False,umbral,0.7739,True,es,True,15,2,58.1,normal,57.2,,0,144.5,170.4,0.0,0.0,25,6e-06,"No tengo esa información entre mis documentos. ¡Pregúntame otra cosa, seguro que sé algo interesante!",
trex-04,t-rex,literal,RAG,1,RAG,True,umbral,0.5667,True,es,True,8,2,101.6,muy_facil,83.8,,0,142.6,175.8,0.0,798.7,325,1.9e-05,"Sí, tenía esos pequeños brazos. ¡Eran muy cortos!",
trex-04,t-rex,literal,RAG,2,RAG,True,umbral,0.5667,True,es,True,8,2,101.6,muy_facil,83.8,,0,142.6,175.8,0.0,876.4,325,1.9e-05,"Sí, tenía esos pequeños brazos. ¡Eran muy cortos!",
trex-04,t-rex,literal,RAG,3,RAG,True,umbral,0.5667,True,es,True,8,2,101.6,muy_facil,83.8,,0,142.6,175.8,0.0,833.4,325,1.9e-05,"Sí, tenía esos pequeños brazos. ¡Eran muy cortos!",
trex-05,t-rex,literal,RAG,1,RAG,True,umbral,0.5895,True,es,True,13,2,90.1,muy_facil,85.0,,0,151.4,171.0,0.0,999.5,561,3.2e-05,"Sí, mi mordisco era muy fuerte. ¡Podía romper huesos y carne con facilidad!",
trex-05,t-rex,literal,RAG,2,RAG,True,umbral,0.5895,True,es,True,13,2,90.1,muy_facil,85.0,,0,151.4,171.0,0.0,851.6,561,3.2e-05,"Sí, mi mordisco era muy fuerte. ¡Podía romper huesos y carne con facilidad!",
trex-05,t-rex,literal,RAG,3,RAG,True,umbral,0.5895,True,es,True,13,2,90.1,muy_facil,85.0,,0,151.4,171.0,0.0,822.6,561,3.2e-05,"Sí, mi mordisco era muy fuerte. ¡Podía romper huesos y carne con facilidad!",
trex-06,t-rex,literal,RAG,1,RAG,True,umbral,0.7339,True,es,True,23,2,81.6,muy_facil,88.4,,0,229.0,171.6,0.0,848.3,323,2.3e-05,"Fue Peter T. Dotson, un estudiante de Colorado, quien encontró mi diente en 1874 en la montaña de South Table, cerca de Golden, Colorado.",
trex-06,t-rex,literal,RAG,2,RAG,True,umbral,0.7339,True,es,True,23,2,81.6,muy_facil,88.4,,0,229.0,171.6,0.0,860.3,323,2.3e-05,"Fue Peter T. Dotson, un estudiante de Colorado, quien encontró mi diente en 1874 en la montaña de South Table, cerca de Golden, Colorado.",
trex-06,t-rex,literal,RAG,3,RAG,True,umbral,0.7339,True,es,True,23,2,81.6,muy_facil,88.4,,0,229.0,171.6,0.0,857.3,323,2.3e-05,"Fue Peter T. Dotson, un estudiante de Colorado, quien encontró mi diente en 1874 en la montaña de South Table, cerca de Golden, Colorado.",
trex-07,t-rex,inferencial,RAG,1,RAG,True,umbral,0.5816,True,es,True,38,3,77.8,bastante_facil,86.7,,0,157.5,217.4,0.0,1380.0,625,4.2e-05,"Sí, yo era un depredador, pero también un carroñero. Mi sentido del olfato era muy desarrollado, así que podía encontrar cadáveres a grandes distancias. ¡Y mis dientes eran muy fuertes para romper huesos y comer el hueso mismo!",
trex-07,t-rex,inferencial,RAG,2,RAG,True,umbral,0.5816,True,es,True,38,3,77.8,bastante_facil,86.7,,0,157.5,217.4,0.0,1236.0,625,4.2e-05,"Sí, yo era un depredador, pero también un carroñero. Mi sentido del olfato era muy desarrollado, así que podía encontrar cadáveres a grandes distancias. ¡Y mis dientes eran muy fuertes para romper huesos y comer el hueso mismo!",
trex-07,t-rex,inferencial,RAG,3,RAG,True,umbral,0.5816,True,es,True,38,3,77.8,bastante_facil,86.7,,0,157.5,217.4,0.0,1186.4,625,4.2e-05,"Sí, yo era un depredador, pero también un carroñero. Mi sentido del olfato era muy desarrollado, así que podía encontrar cadáveres a grandes distancias. ¡Y mis dientes eran muy fuertes para romper huesos y comer el hueso mismo!",
trex-08,t-rex,inferencial,RAG,1,RAG,True,umbral,0.6336,True,es,True,21,2,86.6,muy_facil,91.4,,0,440.6,191.7,0.0,822.0,635,3.8e-05,"Mi cabeza era muy ancha atrás, pero tenía una nariz muy estrecha. ¡Eso me permitía tener una visión binocular muy buena!",
trex-08,t-rex,inferencial,RAG,2,RAG,True,umbral,0.6336,True,es,True,21,2,86.6,muy_facil,91.4,,0,440.6,191.7,0.0,843.0,635,3.8e-05,"Mi cabeza era muy ancha atrás, pero tenía una nariz muy estrecha. ¡Eso me permitía tener una visión binocular muy buena!",
trex-08,t-rex,inferencial,RAG,3,RAG,True,umbral,0.6336,True,es,True,21,2,86.6,muy_facil,91.4,,0,440.6,191.7,0.0,866.4,635,3.8e-05,"Mi cabeza era muy ancha atrás, pero tenía una nariz muy estrecha. ¡Eso me permitía tener una visión binocular muy buena!",
trex-09,t-rex,inferencial,RAG,1,RAG,True,umbral,0.3005,True,es,True,16,3,115.8,muy_facil,105.2,,0,332.3,173.6,0.0,831.0,663,3.7e-05,El nombre del T. rex más grande que se ha encontrado es Scotty. ¡Era muy grande!,
trex-09,t-rex,inferencial,RAG,2,RAG,True,umbral,0.3005,True,es,True,16,3,115.8,muy_facil,105.2,,0,332.3,173.6,0.0,810.3,663,3.7e-05,El nombre del T. rex más grande que se ha encontrado es Scotty. ¡Era muy grande!,
trex-09,t-rex,inferencial,RAG,3,RAG,True,umbral,0.3005,True,es,True,16,3,115.8,muy_facil,105.2,,0,332.3,173.6,0.0,848.5,663,3.7e-05,El nombre del T. rex más grande que se ha encontrado es Scotty. ¡Era muy grande!,
trex-10,t-rex,inferencial,RAG,1,RAG,True,umbral,0.37,True,es,True,37,1,57.0,normal,95.4,,0,149.5,196.2,0.0,1409.4,602,4.1e-05,"Eso es un misterio, pero los científicos creen que un asteroide grande que cayó en la Tierra causó un gran polvo que impidió que las plantas crecieran y, por lo tanto, los dinosaurios no tuvieron suficiente comida.",
trex-10,t-rex,inferencial,RAG,2,RAG,True,umbral,0.37,True,es,True,37,1,57.0,normal,95.4,,0,149.5,196.2,0.0,1176.4,602,4.1e-05,"Eso es un misterio, pero los científicos creen que un asteroide grande que cayó en la Tierra causó un gran polvo que impidió que las plantas crecieran y, por lo tanto, los dinosaurios no tuvieron suficiente comida.",
trex-10,t-rex,inferencial,RAG,3,RAG,True,umbral,0.37,True,es,True,37,1,57.0,normal,95.4,,0,149.5,196.2,0.0,1157.8,602,4.1e-05,"Eso es un misterio, pero los científicos creen que un asteroide grande que cayó en la Tierra causó un gran polvo que impidió que las plantas crecieran y, por lo tanto, los dinosaurios no tuvieron suficiente comida.",
trex-11,t-rex,inferencial,RAG,1,RAG,True,umbral,0.4635,True,es,True,23,1,59.2,normal,82.4,,0,138.9,173.5,0.0,907.0,743,4.4e-05,"Bueno, no sé exactamente cuánto rápido podía correr, pero según los científicos, mis patas eran ideales para caminar, no para correr muy rápido.",
trex-11,t-rex,inferencial,RAG,2,RAG,True,umbral,0.4635,True,es,True,23,1,59.2,normal,82.4,,0,138.9,173.5,0.0,1139.8,743,4.4e-05,"Bueno, no sé exactamente cuánto rápido podía correr, pero según los científicos, mis patas eran ideales para caminar, no para correr muy rápido.",
